Interval,CSVdata
2019-01-21 01:08:33.220,2019-01-21 01:08:33.220
2019-01-21 01:08:50.220,2019-01-21 01:08:50.220
2019-01-21 01:09:08.220,2019-01-21 01:09:08.220
2019-01-21 01:09:26.220,2019-01-21 01:09:26.220
2019-01-21 01:09:44.220,2019-01-21 01:09:44.220
2019-01-21 01:10:02.220,2019-01-21 01:10:02.220
2019-01-21 01:10:20.220,2019-01-21 01:10:20.220
2019-01-21 01:10:38.220,2019-01-21 01:10:38.220
2019-01-21 01:10:56.220,2019-01-21 01:10:56.220
2019-01-21 01:11:14.220,2019-01-21 01:11:14.220
2019-01-21 01:11:31.220,2019-01-21 01:11:31.220
2019-01-21 01:11:48.220,2019-01-21 01:11:48.220
2019-01-21 01:12:06.220,2019-01-21 01:12:06.220
2019-01-21 01:12:24.220,2019-01-21 01:12:24.220
2019-01-21 01:12:42.220,2019-01-21 01:12:42.220
2019-01-21 01:13:00.220,2019-01-21 01:13:00.220
2019-01-21 01:13:18.220,2019-01-21 01:13:18.220
2019-01-21 01:13:36.230,2019-01-21 01:13:36.230
2019-01-21 01:13:54.230,2019-01-21 01:13:54.230
2019-01-21 01:14:11.230,2019-01-21 01:14:11.230
2019-01-21 01:14:28.230,2019-01-21 01:14:28.230
2019-01-21 01:14:46.230,2019-01-21 01:14:46.230
2019-01-21 01:15:05.230,2019-01-21 01:15:05.230
2019-01-21 01:15:24.230,2019-01-21 01:15:24.230
2019-01-21 01:15:43.230,2019-01-21 01:15:43.230
2019-01-21 01:16:02.230,2019-01-21 01:16:02.230
2019-01-21 01:16:20.230,2019-01-21 01:16:20.230
2019-01-21 01:16:38.230,2019-01-21 01:16:38.230
2019-01-21 01:16:56.230,2019-01-21 01:16:56.230
2019-01-21 01:17:14.220,2019-01-21 01:17:14.220
2019-01-21 01:17:32.180,2019-01-21 01:17:32.180
2019-01-21 01:17:50.180,2019-01-21 01:17:50.180
2019-01-21 01:18:08.180,2019-01-21 01:18:08.180
2019-01-21 01:18:26.190,2019-01-21 01:18:26.190
2019-01-21 01:18:44.180,2019-01-21 01:18:44.190
2019-01-21 01:19:02.190,2019-01-21 01:19:02.190
2019-01-21 01:19:20.190,2019-01-21 01:19:20.190
2019-01-21 01:19:38.190,2019-01-21 01:19:38.190
2019-01-21 01:19:56.190,2019-01-21 01:19:56.190
2019-01-21 01:20:14.190,2019-01-21 01:20:14.190
2019-01-21 01:20:32.190,2019-01-21 01:20:32.190
2019-01-21 01:20:50.190,2019-01-21 01:20:50.190
2019-01-21 01:21:07.190,2019-01-21 01:21:07.190
