GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,22:01:10,624,-13.73605,155.53693,0
2019-08-19,22:01:20,624,-13.73575,155.53645,0
2019-08-19,22:01:30,624,-13.73547,155.53595,0
2019-08-19,22:01:40,624,-13.73521,155.53544,0
2019-08-19,22:01:50,624,-13.73494,155.53493,0
2019-08-19,22:02:00,624,-13.73468,155.53442,0
2019-08-19,22:02:10,624,-13.73441,155.53391,0
2019-08-19,22:02:20,624,-13.73415,155.5334,0
2019-08-19,22:02:30,624,-13.73389,155.5329,0
2019-08-19,22:02:40,624,-13.73363,155.53238,0
2019-08-19,22:02:50,624,-13.73337,155.53187,0
2019-08-19,22:03:00,624,-13.73311,155.53136,0
2019-08-19,22:03:10,624,-13.73286,155.53085,0
2019-08-19,22:03:20,624,-13.7326,155.53033,0
2019-08-19,22:03:30,624,-13.73234,155.52982,0
2019-08-19,22:03:40,624,-13.73208,155.52931,0
2019-08-19,22:03:50,624,-13.73182,155.52879,0
2019-08-19,22:04:00,624,-13.73156,155.52828,0
2019-08-19,22:04:10,624,-13.73131,155.52777,0
2019-08-19,22:04:20,624,-13.73105,155.52725,0
2019-08-19,22:04:30,624,-13.7308,155.52673,0
2019-08-19,22:04:40,624,-13.73055,155.52621,0
2019-08-19,22:04:50,624,-13.7303,155.52569,0
2019-08-19,22:05:00,624,-13.73005,155.52517,0
2019-08-19,22:05:10,624,-13.7298,155.52465,0
2019-08-19,22:05:20,624,-13.72955,155.52413,0
2019-08-19,22:05:30,624,-13.72929,155.52361,0
2019-08-19,22:05:40,624,-13.72904,155.52309,0
2019-08-19,22:05:50,624,-13.72879,155.52257,0
2019-08-19,22:06:00,624,-13.72853,155.52206,0
2019-08-19,22:06:10,624,-13.72828,155.52155,0
2019-08-19,22:06:20,624,-13.72802,155.52103,0
2019-08-19,22:06:30,624,-13.72777,155.52052,0
2019-08-19,22:06:40,624,-13.72751,155.52,0
2019-08-19,22:06:50,624,-13.72726,155.51949,0
2019-08-19,22:07:00,624,-13.72701,155.51897,0
2019-08-19,22:07:10,624,-13.72677,155.51845,0
2019-08-19,22:07:20,624,-13.72654,155.51793,0
2019-08-19,22:07:30,624,-13.7263,155.51741,0
2019-08-19,22:07:40,624,-13.72607,155.51688,0
2019-08-19,22:07:50,624,-13.72583,155.51636,0
2019-08-19,22:08:00,624,-13.7256,155.51583,0
2019-08-19,22:08:10,624,-13.72537,155.5153,0
2019-08-19,22:08:20,624,-13.72514,155.51478,0
2019-08-19,22:08:30,624,-13.72491,155.51425,0
2019-08-19,22:08:40,624,-13.72466,155.51373,0
2019-08-19,22:08:50,624,-13.72442,155.51321,0
2019-08-19,22:09:00,624,-13.72417,155.5127,0
2019-08-19,22:09:10,624,-13.72393,155.51217,0
2019-08-19,22:09:20,624,-13.72369,155.51165,0
2019-08-19,22:09:30,624,-13.72345,155.51113,0
2019-08-19,22:09:40,624,-13.72321,155.51061,0
2019-08-19,22:09:50,624,-13.72297,155.51009,0
2019-08-19,22:10:00,624,-13.72273,155.50956,0
2019-08-19,22:10:10,624,-13.72248,155.50904,0
2019-08-19,22:10:20,624,-13.72224,155.50852,0
2019-08-19,22:10:30,624,-13.72201,155.50801,0
2019-08-19,22:10:40,624,-13.72177,155.50748,0
2019-08-19,22:10:50,624,-13.72153,155.50697,0
2019-08-19,22:11:00,624,-13.72129,155.50645,0
2019-08-19,22:11:10,624,-13.72105,155.50593,0
2019-08-19,22:11:20,624,-13.72081,155.50542,0
2019-08-19,22:11:30,624,-13.72057,155.5049,0
2019-08-19,22:11:40,624,-13.72033,155.50438,0
2019-08-19,22:11:50,624,-13.72009,155.50386,0
2019-08-19,22:12:00,624,-13.71985,155.50335,0
2019-08-19,22:12:10,624,-13.7196,155.50283,0
2019-08-19,22:12:20,624,-13.71937,155.50232,0
2019-08-19,22:12:30,624,-13.71913,155.5018,0
2019-08-19,22:12:40,624,-13.7189,155.50129,0
2019-08-19,22:12:50,624,-13.71865,155.50077,0
2019-08-19,22:13:00,624,-13.71841,155.50027,0
2019-08-19,22:13:10,624,-13.71817,155.49977,0
2019-08-19,22:13:20,624,-13.71792,155.49926,0
