Roll_date,Roll_time,Roll_milliseconds,Roll_angle
2019-08-19,20:09:56,743,-0.86
2019-08-19,20:09:56,843,-0.91
2019-08-19,20:09:56,943,-0.95
2019-08-19,20:09:57,043,-1
2019-08-19,20:09:57,143,-1.05
2019-08-19,20:09:57,243,-1.09
2019-08-19,20:09:57,343,-1.14
2019-08-19,20:09:57,443,-1.19
2019-08-19,20:09:57,543,-1.23
2019-08-19,20:09:57,643,-1.28
2019-08-19,20:09:57,743,-1.32
2019-08-19,20:09:57,843,-1.35
2019-08-19,20:09:57,943,-1.39
2019-08-19,20:09:58,043,-1.42
2019-08-19,20:09:58,143,-1.44
2019-08-19,20:09:58,243,-1.46
2019-08-19,20:09:58,343,-1.47
2019-08-19,20:09:58,443,-1.48
2019-08-19,20:09:58,543,-1.48
2019-08-19,20:09:58,643,-1.47
2019-08-19,20:09:58,744,-1.46
2019-08-19,20:09:58,844,-1.44
2019-08-19,20:09:58,944,-1.41
2019-08-19,20:09:59,044,-1.39
2019-08-19,20:09:59,144,-1.35
2019-08-19,20:09:59,244,-1.31
2019-08-19,20:09:59,344,-1.27
2019-08-19,20:09:59,444,-1.23
2019-08-19,20:09:59,543,-1.18
2019-08-19,20:09:59,644,-1.12
2019-08-19,20:09:59,744,-1.07
2019-08-19,20:09:59,844,-1.01
2019-08-19,20:09:59,944,-0.95
2019-08-19,20:10:00,043,-0.89
2019-08-19,20:10:00,144,-0.83
2019-08-19,20:10:00,243,-0.77
2019-08-19,20:10:00,343,-0.71
2019-08-19,20:10:00,443,-0.65
2019-08-19,20:10:00,543,-0.59
2019-08-19,20:10:00,643,-0.53
2019-08-19,20:10:00,743,-0.47
2019-08-19,20:10:00,843,-0.42
2019-08-19,20:10:00,943,-0.36
2019-08-19,20:10:01,043,-0.31
2019-08-19,20:10:01,143,-0.26
2019-08-19,20:10:01,243,-0.22
2019-08-19,20:10:01,343,-0.18
2019-08-19,20:10:01,443,-0.14
2019-08-19,20:10:01,543,-0.11
2019-08-19,20:10:01,643,-0.08
2019-08-19,20:10:01,743,-0.05
2019-08-19,20:10:01,843,-0.04
2019-08-19,20:10:01,943,-0.02
2019-08-19,20:10:02,043,-0.01
2019-08-19,20:10:02,143,-0.01
2019-08-19,20:10:02,243,-0.01
2019-08-19,20:10:02,343,-0.01
2019-08-19,20:10:02,443,-0.02
2019-08-19,20:10:02,543,-0.03
2019-08-19,20:10:02,643,-0.05
2019-08-19,20:10:02,743,-0.07
2019-08-19,20:10:02,843,-0.1
2019-08-19,20:10:02,943,-0.12
2019-08-19,20:10:03,043,-0.15
2019-08-19,20:10:03,143,-0.18
2019-08-19,20:10:03,243,-0.22
2019-08-19,20:10:03,343,-0.25
2019-08-19,20:10:03,443,-0.29
2019-08-19,20:10:03,543,-0.32
2019-08-19,20:10:03,643,-0.36
2019-08-19,20:10:03,743,-0.4
2019-08-19,20:10:03,843,-0.44
2019-08-19,20:10:03,943,-0.47
2019-08-19,20:10:04,043,-0.51
2019-08-19,20:10:04,143,-0.54
2019-08-19,20:10:04,243,-0.58
2019-08-19,20:10:04,343,-0.61
2019-08-19,20:10:04,443,-0.65
2019-08-19,20:10:04,543,-0.68
2019-08-19,20:10:04,643,-0.71
2019-08-19,20:10:04,743,-0.73
2019-08-19,20:10:04,843,-0.76
2019-08-19,20:10:04,943,-0.79
2019-08-19,20:10:05,043,-0.81
2019-08-19,20:10:05,143,-0.83
2019-08-19,20:10:05,243,-0.85
2019-08-19,20:10:05,343,-0.87
2019-08-19,20:10:05,443,-0.88
2019-08-19,20:10:05,543,-0.9
2019-08-19,20:10:05,643,-0.91
2019-08-19,20:10:05,743,-0.92
2019-08-19,20:10:05,843,-0.92
2019-08-19,20:10:05,943,-0.93
2019-08-19,20:10:06,043,-0.93
2019-08-19,20:10:06,143,-0.93
2019-08-19,20:10:06,243,-0.92
2019-08-19,20:10:06,343,-0.91
2019-08-19,20:10:06,443,-0.9
2019-08-19,20:10:06,543,-0.88
2019-08-19,20:10:06,643,-0.86
2019-08-19,20:10:06,743,-0.83
2019-08-19,20:10:06,843,-0.8
2019-08-19,20:10:06,943,-0.77
2019-08-19,20:10:07,043,-0.73
2019-08-19,20:10:07,143,-0.69
2019-08-19,20:10:07,243,-0.65
2019-08-19,20:10:07,343,-0.6
2019-08-19,20:10:07,443,-0.55
2019-08-19,20:10:07,543,-0.5
2019-08-19,20:10:07,643,-0.45
2019-08-19,20:10:07,743,-0.4
2019-08-19,20:10:07,843,-0.34
2019-08-19,20:10:07,943,-0.29
2019-08-19,20:10:08,043,-0.23
2019-08-19,20:10:08,143,-0.17
2019-08-19,20:10:08,243,-0.11
2019-08-19,20:10:08,343,-0.06
2019-08-19,20:10:08,443,0
2019-08-19,20:10:08,543,0.05
2019-08-19,20:10:08,643,0.1
2019-08-19,20:10:08,743,0.15
2019-08-19,20:10:08,843,0.19
2019-08-19,20:10:08,943,0.23
2019-08-19,20:10:09,043,0.27
2019-08-19,20:10:09,143,0.3
2019-08-19,20:10:09,243,0.33
2019-08-19,20:10:09,343,0.35
2019-08-19,20:10:09,443,0.36
2019-08-19,20:10:09,543,0.37
2019-08-19,20:10:09,643,0.38
2019-08-19,20:10:09,743,0.37
2019-08-19,20:10:09,843,0.37
2019-08-19,20:10:09,943,0.35
2019-08-19,20:10:10,043,0.33
2019-08-19,20:10:10,143,0.31
2019-08-19,20:10:10,243,0.27
2019-08-19,20:10:10,343,0.24
2019-08-19,20:10:10,443,0.19
2019-08-19,20:10:10,543,0.14
2019-08-19,20:10:10,643,0.09
2019-08-19,20:10:10,743,0.03
2019-08-19,20:10:10,843,-0.04
2019-08-19,20:10:10,943,-0.11
2019-08-19,20:10:11,043,-0.18
2019-08-19,20:10:11,143,-0.26
2019-08-19,20:10:11,243,-0.35
2019-08-19,20:10:11,343,-0.43
2019-08-19,20:10:11,443,-0.52
2019-08-19,20:10:11,543,-0.61
2019-08-19,20:10:11,643,-0.7
2019-08-19,20:10:11,743,-0.8
2019-08-19,20:10:11,843,-0.89
2019-08-19,20:10:11,943,-0.98
2019-08-19,20:10:12,043,-1.07
2019-08-19,20:10:12,143,-1.16
2019-08-19,20:10:12,243,-1.25
2019-08-19,20:10:12,343,-1.33
2019-08-19,20:10:12,443,-1.41
2019-08-19,20:10:12,543,-1.48
2019-08-19,20:10:12,643,-1.55
2019-08-19,20:10:12,743,-1.61
2019-08-19,20:10:12,843,-1.66
2019-08-19,20:10:12,943,-1.71
2019-08-19,20:10:13,043,-1.75
2019-08-19,20:10:13,143,-1.79
2019-08-19,20:10:13,243,-1.82
2019-08-19,20:10:13,343,-1.84
2019-08-19,20:10:13,443,-1.86
2019-08-19,20:10:13,543,-1.87
2019-08-19,20:10:13,643,-1.87
2019-08-19,20:10:13,744,-1.87
2019-08-19,20:10:13,844,-1.86
2019-08-19,20:10:13,944,-1.85
2019-08-19,20:10:14,044,-1.83
2019-08-19,20:10:14,144,-1.81
2019-08-19,20:10:14,244,-1.77
2019-08-19,20:10:14,344,-1.74
2019-08-19,20:10:14,444,-1.7
2019-08-19,20:10:14,544,-1.65
2019-08-19,20:10:14,644,-1.6
2019-08-19,20:10:14,744,-1.55
2019-08-19,20:10:14,843,-1.49
2019-08-19,20:10:14,943,-1.43
2019-08-19,20:10:15,044,-1.37
2019-08-19,20:10:15,144,-1.3
2019-08-19,20:10:15,244,-1.24
2019-08-19,20:10:15,343,-1.17
2019-08-19,20:10:15,443,-1.1
2019-08-19,20:10:15,543,-1.03
2019-08-19,20:10:15,643,-0.95
2019-08-19,20:10:15,743,-0.88
2019-08-19,20:10:15,843,-0.81
2019-08-19,20:10:15,943,-0.74
2019-08-19,20:10:16,043,-0.66
2019-08-19,20:10:16,143,-0.59
2019-08-19,20:10:16,243,-0.52
2019-08-19,20:10:16,343,-0.46
2019-08-19,20:10:16,443,-0.39
2019-08-19,20:10:16,543,-0.33
2019-08-19,20:10:16,643,-0.27
2019-08-19,20:10:16,743,-0.22
2019-08-19,20:10:16,843,-0.17
2019-08-19,20:10:16,943,-0.12
2019-08-19,20:10:17,043,-0.09
2019-08-19,20:10:17,143,-0.05
2019-08-19,20:10:17,243,-0.03
2019-08-19,20:10:17,343,-0.01
2019-08-19,20:10:17,443,0
2019-08-19,20:10:17,543,0.01
2019-08-19,20:10:17,643,0.01
2019-08-19,20:10:17,743,0
2019-08-19,20:10:17,843,-0.02
2019-08-19,20:10:17,943,-0.04
2019-08-19,20:10:18,043,-0.08
2019-08-19,20:10:18,143,-0.11
2019-08-19,20:10:18,243,-0.15
2019-08-19,20:10:18,343,-0.2
2019-08-19,20:10:18,443,-0.25
2019-08-19,20:10:18,543,-0.31
2019-08-19,20:10:18,643,-0.37
2019-08-19,20:10:18,743,-0.43
2019-08-19,20:10:18,843,-0.49
2019-08-19,20:10:18,943,-0.56
2019-08-19,20:10:19,043,-0.62
2019-08-19,20:10:19,143,-0.68
2019-08-19,20:10:19,243,-0.74
2019-08-19,20:10:19,343,-0.79
2019-08-19,20:10:19,443,-0.85
2019-08-19,20:10:19,543,-0.9
2019-08-19,20:10:19,643,-0.94
2019-08-19,20:10:19,743,-0.98
2019-08-19,20:10:19,843,-1.01
2019-08-19,20:10:19,943,-1.04
2019-08-19,20:10:20,043,-1.06
2019-08-19,20:10:20,143,-1.08
2019-08-19,20:10:20,243,-1.1
2019-08-19,20:10:20,343,-1.11
2019-08-19,20:10:20,443,-1.11
2019-08-19,20:10:20,543,-1.11
2019-08-19,20:10:20,643,-1.11
2019-08-19,20:10:20,743,-1.11
2019-08-19,20:10:20,843,-1.1
2019-08-19,20:10:20,943,-1.09
2019-08-19,20:10:21,043,-1.07
2019-08-19,20:10:21,143,-1.06
2019-08-19,20:10:21,243,-1.04
2019-08-19,20:10:21,343,-1.02
2019-08-19,20:10:21,443,-1
2019-08-19,20:10:21,543,-0.98
2019-08-19,20:10:21,643,-0.96
2019-08-19,20:10:21,743,-0.94
2019-08-19,20:10:21,843,-0.91
2019-08-19,20:10:21,943,-0.89
2019-08-19,20:10:22,043,-0.87
2019-08-19,20:10:22,143,-0.85
2019-08-19,20:10:22,243,-0.82
2019-08-19,20:10:22,343,-0.8
2019-08-19,20:10:22,443,-0.78
2019-08-19,20:10:22,543,-0.76
2019-08-19,20:10:22,643,-0.73
2019-08-19,20:10:22,743,-0.71
2019-08-19,20:10:22,843,-0.69
2019-08-19,20:10:22,943,-0.66
2019-08-19,20:10:23,043,-0.64
2019-08-19,20:10:23,143,-0.61
2019-08-19,20:10:23,243,-0.59
2019-08-19,20:10:23,343,-0.56
2019-08-19,20:10:23,443,-0.53
2019-08-19,20:10:23,543,-0.51
2019-08-19,20:10:23,643,-0.48
2019-08-19,20:10:23,743,-0.46
2019-08-19,20:10:23,843,-0.43
2019-08-19,20:10:23,943,-0.41
2019-08-19,20:10:24,043,-0.39
2019-08-19,20:10:24,143,-0.37
2019-08-19,20:10:24,243,-0.35
2019-08-19,20:10:24,343,-0.33
2019-08-19,20:10:24,443,-0.32
2019-08-19,20:10:24,543,-0.3
2019-08-19,20:10:24,643,-0.29
2019-08-19,20:10:24,743,-0.28
2019-08-19,20:10:24,843,-0.27
2019-08-19,20:10:24,943,-0.26
2019-08-19,20:10:25,043,-0.24
2019-08-19,20:10:25,143,-0.24
2019-08-19,20:10:25,243,-0.23
2019-08-19,20:10:25,343,-0.22
2019-08-19,20:10:25,443,-0.21
2019-08-19,20:10:25,543,-0.2
2019-08-19,20:10:25,643,-0.19
2019-08-19,20:10:25,743,-0.18
2019-08-19,20:10:25,843,-0.17
2019-08-19,20:10:25,943,-0.16
2019-08-19,20:10:26,043,-0.15
2019-08-19,20:10:26,143,-0.13
2019-08-19,20:10:26,243,-0.12
2019-08-19,20:10:26,343,-0.11
2019-08-19,20:10:26,443,-0.09
2019-08-19,20:10:26,543,-0.08
2019-08-19,20:10:26,643,-0.07
2019-08-19,20:10:26,743,-0.05
2019-08-19,20:10:26,843,-0.04
2019-08-19,20:10:26,943,-0.03
2019-08-19,20:10:27,043,-0.02
2019-08-19,20:10:27,143,-0.01
2019-08-19,20:10:27,243,-0.01
2019-08-19,20:10:27,343,0
2019-08-19,20:10:27,443,0
2019-08-19,20:10:27,543,0
2019-08-19,20:10:27,643,0
2019-08-19,20:10:27,743,0
2019-08-19,20:10:27,843,0
2019-08-19,20:10:27,943,0
2019-08-19,20:10:28,043,-0.01
2019-08-19,20:10:28,143,-0.01
2019-08-19,20:10:28,243,-0.02
2019-08-19,20:10:28,343,-0.02
2019-08-19,20:10:28,443,-0.02
2019-08-19,20:10:28,543,-0.02
2019-08-19,20:10:28,643,-0.02
2019-08-19,20:10:28,744,-0.02
2019-08-19,20:10:28,844,-0.02
2019-08-19,20:10:28,944,-0.01
2019-08-19,20:10:29,044,0
2019-08-19,20:10:29,144,0.01
2019-08-19,20:10:29,244,0.02
2019-08-19,20:10:29,344,0.03
2019-08-19,20:10:29,444,0.04
2019-08-19,20:10:29,544,0.06
2019-08-19,20:10:29,644,0.07
2019-08-19,20:10:29,744,0.09
2019-08-19,20:10:29,844,0.1
2019-08-19,20:10:29,944,0.11
2019-08-19,20:10:30,044,0.13
2019-08-19,20:10:30,144,0.14
2019-08-19,20:10:30,244,0.15
2019-08-19,20:10:30,344,0.15
2019-08-19,20:10:30,444,0.16
2019-08-19,20:10:30,543,0.16
2019-08-19,20:10:30,644,0.16
2019-08-19,20:10:30,743,0.15
2019-08-19,20:10:30,843,0.14
2019-08-19,20:10:30,943,0.13
2019-08-19,20:10:31,044,0.11
2019-08-19,20:10:31,143,0.1
2019-08-19,20:10:31,243,0.07
2019-08-19,20:10:31,343,0.05
2019-08-19,20:10:31,443,0.02
2019-08-19,20:10:31,543,-0.01
2019-08-19,20:10:31,643,-0.05
2019-08-19,20:10:31,743,-0.08
2019-08-19,20:10:31,843,-0.12
2019-08-19,20:10:31,943,-0.16
2019-08-19,20:10:32,043,-0.21
2019-08-19,20:10:32,143,-0.25
2019-08-19,20:10:32,243,-0.29
2019-08-19,20:10:32,343,-0.34
2019-08-19,20:10:32,443,-0.38
2019-08-19,20:10:32,543,-0.42
2019-08-19,20:10:32,643,-0.46
2019-08-19,20:10:32,743,-0.5
2019-08-19,20:10:32,843,-0.54
2019-08-19,20:10:32,943,-0.57
2019-08-19,20:10:33,043,-0.6
2019-08-19,20:10:33,143,-0.63
2019-08-19,20:10:33,243,-0.66
2019-08-19,20:10:33,343,-0.68
2019-08-19,20:10:33,443,-0.71
2019-08-19,20:10:33,543,-0.73
2019-08-19,20:10:33,643,-0.74
2019-08-19,20:10:33,743,-0.76
2019-08-19,20:10:33,843,-0.78
2019-08-19,20:10:33,943,-0.79
2019-08-19,20:10:34,043,-0.81
2019-08-19,20:10:34,143,-0.82
2019-08-19,20:10:34,243,-0.84
2019-08-19,20:10:34,343,-0.85
2019-08-19,20:10:34,443,-0.86
2019-08-19,20:10:34,543,-0.88
2019-08-19,20:10:34,643,-0.89
2019-08-19,20:10:34,743,-0.9
2019-08-19,20:10:34,843,-0.92
2019-08-19,20:10:34,943,-0.94
2019-08-19,20:10:35,043,-0.96
2019-08-19,20:10:35,143,-0.98
2019-08-19,20:10:35,243,-1
2019-08-19,20:10:35,343,-1.02
2019-08-19,20:10:35,443,-1.04
2019-08-19,20:10:35,543,-1.07
2019-08-19,20:10:35,643,-1.09
2019-08-19,20:10:35,743,-1.12
2019-08-19,20:10:35,843,-1.14
2019-08-19,20:10:35,943,-1.17
2019-08-19,20:10:36,043,-1.19
2019-08-19,20:10:36,143,-1.22
2019-08-19,20:10:36,243,-1.24
2019-08-19,20:10:36,343,-1.26
2019-08-19,20:10:36,443,-1.28
2019-08-19,20:10:36,543,-1.3
